"Location","Total Sales","% Delta","Comments"
"AZ900482 Tucson Broadway",6424.51,30.5988490162,"

"
"NV036 Las Vegas Silverado",3755.54,19.7691068837,"

"
"NV067 Reno Meadows",7142.28,-16.3254953554,"

1 brands have 1000 dollar dip from previous period."
"NV103 Henderson Boulder Highway",4893.23,-6.6107973685,"

"
"NV191 Carson City Willam",6021.86,10.3707274337,"

"
"NV900478 LV S Las Vegas",3962.54,-29.4561457541,"
1 brands have 50% dip from previous period.
1 brands have 1000 dollar dip from previous period."
"PA006 Kennett Square Baltimore Pike",4712.8,52.4063306449,"

"
"PA100505 Downingtown Lancaster",6951.8,18.750960865,"

"