Platform,Platform Location Name,Current Canonical Name,Matched Store ID,Matched Shop Name,Matched Address,Match Method,Confidence,Extracted Store ID
"doordash","University Dr","University Dr","IL110507","IL110507 CK Chicago River West","","address","0.50",""
"doordash","Silverside Road","Silverside Road","DE004","DE004 Wilmington Silverside","2124 Silverside Road","address","0.60",""
"doordash","West Basin Rd","West Basin Rd","DE002","DE002 New Castle Basin","708 West Basin Road","address","0.60",""
"doordash","Townpark Lane","Townpark Lane","GA141","GA141 Kennesaw Townpark","777 Townpark Lane Northwest Suite 104","address","0.60",""
"doordash","Jennersville Rd","Jennersville Rd","CA100377","CA100377 Rancho Cordova Sunrise","4041 Sunrise Blvd. Suite D","address","0.50",""
"doordash","Parker","Parker","","","","unmatched","0.00",""
"doordash","N Broad St","N Broad St","DE010","DE010 Middletown Broad","743 North Broad Street","address","0.60",""
"doordash","College Station","College Station","IL110507","IL110507 CK Chicago River West","","address","0.50",""
"doordash","Shepherd - Fresno","Shepherd - Fresno","CA100221","CA100221 Fresno Blackstone","7685 N. Blackstone Ave","address","0.50",""
"doordash","Cortez Rd  West","Cortez Rd  West","FL100404","FL100404 Bradenton Cortez","7480 Cortez Rd. W","address","0.60",""
"doordash","East 82nd St","East 82nd St","CA215","CA215 Eastvale Limonite","14062 Limonite Ave Ste 130","address","0.80",""
"doordash","Castle Rock","Castle Rock","CO100236","CO100236 Castle Rock Atrium","5715 Atrium Dr., #E110","address","0.68",""
"doordash","NE Cookingham Dr","NE Cookingham Dr","IL110507","IL110507 CK Chicago River West","","address","0.50",""
"doordash","De Soto-Chatsworth","De Soto-Chatsworth","IL110507","IL110507 CK Chicago River West","","address","0.50",""
"doordash","Gambrills","Gambrills","","","","unmatched","0.00",""
"doordash","GVR Casino","GVR Casino","IL110507","IL110507 CK Chicago River West","","address","0.50",""
"doordash","East Ridge Pike","East Ridge Pike","IL110507","IL110507 CK Chicago River West","","address","0.50",""
"doordash","North Union St","North Union St","DE001","DE001 Wilmington Union","510 North Union Street","address","0.90",""
"doordash","East Sepulveda","East Sepulveda","IL110507","IL110507 CK Chicago River West","","address","0.50",""
"doordash","University Ave","University Ave","IA069","IA069 Davenport E 53rd","3016 E. 53rd Street","address","0.50",""
"doordash","Smithtown Bypass","Smithtown Bypass","IL110507","IL110507 CK Chicago River West","","address","0.50",""
"doordash","Sahara & Las Vegas","Sahara & Las Vegas","IL110507","IL110507 CK Chicago River West","","address","0.50",""
"doordash","Santa Fe Station","Santa Fe Station","IL110507","IL110507 CK Chicago River West","","address","0.50",""
"doordash","W Blue Diamond Rd","W Blue Diamond Rd","IL110507","IL110507 CK Chicago River West","","address","0.50",""
"doordash","South  Walton Blvd","South  Walton Blvd","AR100196","AR100196 Bentonville Walton","1406 S Walton Blvd Bentonville","address","0.60",""
"doordash","Brayden Pkwy","Brayden Pkwy","IL110507","IL110507 CK Chicago River West","","address","0.50",""
"doordash","Coeur d'Alene","Coeur d'Alene","","","","unmatched","0.00",""
"doordash","North Town Center","North Town Center","GA141","GA141 Kennesaw Townpark","777 Townpark Lane Northwest Suite 104","address","0.60",""
"doordash","Sierra Hwy","Sierra Hwy","IL110507","IL110507 CK Chicago River West","","address","0.50",""
"doordash","Marlboro - Easton","Marlboro - Easton","IL110507","IL110507 CK Chicago River West","","address","0.50",""
"doordash","The Old Road","The Old Road","CA100205","CA100205 Valencia The Old Road","27624 The Old Road, Pad C","address","0.77",""
"doordash","Moreno Beach Drive","Moreno Beach Drive","CA100265","CA100265 Moreno Valley Moreno Beach","12831 Moreno Beach Dr, Ste 107","address","0.60",""
"doordash","Old Town","Old Town","DE010","DE010 Middletown Broad","743 North Broad Street","address","0.50",""
"doordash","Dana Park - Mesa","Dana Park - Mesa","CO100326","CO100326 Parker Parker","11153 Parker Rd","address","0.80",""
"doordash","Byers Dr","Byers Dr","IL110507","IL110507 CK Chicago River West","","address","0.50",""
"doordash","Millsboro Plaza","Millsboro Plaza","DE100320","DE100320 Millsboro Plaza","25938 PLAZA DRIVE, UNIT 5, BLDG D","address","0.60",""
"doordash","Murrieta Hot Springs Rd","Murrieta Hot Springs Rd","CA100336","CA100336 Murrieta Towne Center","40469 Murrieta Hot Springs Rd","address","1.00",""
"doordash","Paradise Road","Paradise Road","IL110507","IL110507 CK Chicago River West","","address","0.50",""
"doordash","Niles Cortland Rd SE","Niles Cortland Rd SE","IL110507","IL110507 CK Chicago River West","","address","0.50",""
"doordash","Rancho Mirage","Rancho Mirage","CA100451","CA100451 Rancho Mirage Bob Hope","36101 Bob Hope Drive","address","0.68",""
"doordash","Overland Park","Overland Park","CO100326","CO100326 Parker Parker","11153 Parker Rd","address","0.80",""
"doordash","Bridge St","Bridge St","CA215","CA215 Eastvale Limonite","14062 Limonite Ave Ste 130","address","0.80",""
"doordash","Douglas Blvd","Douglas Blvd","CA171","CA171 Granite Bay Douglas","4060 Douglas Blvd","address","0.60",""
"doordash","Bel Air","Bel Air","IL110507","IL110507 CK Chicago River West","","address","0.50",""
"doordash","South State Rd","South State Rd","IL110507","IL110507 CK Chicago River West","","address","0.50",""
"doordash","Catclaw - Abilene","Catclaw - Abilene","IL110507","IL110507 CK Chicago River West","","address","0.50",""
"doordash","Raccoon Rd","Raccoon Rd","CA100377","CA100377 Rancho Cordova Sunrise","4041 Sunrise Blvd. Suite D","address","0.50",""
"doordash","Stephanie St","Stephanie St","CA215","CA215 Eastvale Limonite","14062 Limonite Ave Ste 130","address","0.80",""
"doordash","Chicago River West","Chicago River West","IL110507","IL110507 CK Chicago River West","","address","0.76",""
"grubhub","Capriotti's Sandwich Shop","Chicago River West","IL110507","IL110507 CK Chicago River West","","address","0.50",""
"doordash","Main Street - Anoka","Main Street - Anoka","DE003","DE003 Newark Newark Ctr","250 E. Main Street Suite 241","address","0.60",""
"grubhub","Capriotti's Sandwich Shop","Main Street - Anoka","IL110507","IL110507 CK Chicago River West","","address","0.50",""
"doordash","Marlton, NJ","Marlton, NJ","","","","unmatched","0.00",""
"grubhub","Capriotti's Sandwich Shop","Marlton, NJ","IL110507","IL110507 CK Chicago River West","","address","0.50",""
"doordash","E 53rd - Davenport","E 53rd - Davenport","IA069","IA069 Davenport E 53rd","3016 E. 53rd Street","address","0.80",""
"doordash","Arapahoe Rd","Arapahoe Rd","CA100377","CA100377 Rancho Cordova Sunrise","4041 Sunrise Blvd. Suite D","address","0.50",""
"doordash","Collier Pkwy-Lutz","Collier Pkwy-Lutz","IL110507","IL110507 CK Chicago River West","","address","0.50",""
"doordash","West Cheyenne Ave","West Cheyenne Ave","DE025","DE025 Smyrna Glenwood","456 - C -1 West Glenwood Avenue","address","0.60",""
"doordash","Grand Ave-Portland","Grand Ave-Portland","IA069","IA069 Davenport E 53rd","3016 E. 53rd Street","address","0.50",""
"doordash","Limonite Ave","Limonite Ave","CA215","CA215 Eastvale Limonite","14062 Limonite Ave Ste 130","address","0.60",""
"doordash","Highbrook Way","Highbrook Way","IL110507","IL110507 CK Chicago River West","","address","0.50",""
"doordash","Red Cliff Dr","Red Cliff Dr","IL110507","IL110507 CK Chicago River West","","address","0.50",""
"doordash","Downingtown","Downingtown","","","","unmatched","0.00",""
"doordash","St Rose Pkwy","St Rose Pkwy","CO100389","CO100389 CO Springs Interquest","1286 Interquest PKWY, Suite 120","address","0.60",""
"doordash","West Sahara Avenue","West Sahara Avenue","DE025","DE025 Smyrna Glenwood","456 - C -1 West Glenwood Avenue","address","0.60",""
"doordash","S Marion Road","S Marion Road","IL110507","IL110507 CK Chicago River West","","address","0.50",""
"doordash","Anthem","Anthem","","","","unmatched","0.00",""
"doordash","Bidwell - Folsom","Bidwell - Folsom","CA100403","CA100403 Folsom Bidwell","3230 E Bidwell St","address","0.80",""
"doordash","East Market Street","East Market Street","IL110507","IL110507 CK Chicago River West","","address","0.50",""
"doordash","Sunrise Blvd","Sunrise Blvd","CA100377","CA100377 Rancho Cordova Sunrise","4041 Sunrise Blvd. Suite D","address","0.60",""
"doordash","Happy Valley","Happy Valley","CA100265","CA100265 Moreno Valley Moreno Beach","12831 Moreno Beach Dr, Ste 107","address","0.50",""
"doordash","Mountain View","Mountain View","IL110507","IL110507 CK Chicago River West","","address","0.50",""
"doordash","Barnes Road","Barnes Road","IL110507","IL110507 CK Chicago River West","","address","0.50",""
"doordash","Kent Island","Kent Island","IL110507","IL110507 CK Chicago River West","","address","0.50",""
"doordash","Kenosha & 177th","Kenosha & 177th","","","","unmatched","0.00",""
"doordash","Northdale Blvd","Northdale Blvd","FL100383","FL100383 Tampa Northdale","3817 Northdale Blvd","address","0.60",""
"doordash","Capriotti's of Dover, Inc.","Capriotti's of Dover, Inc.","DE007","DE007 Dover Independence","321-F Independence Boulevard Route 8","address","0.50",""
"doordash","Manchester Rd","Manchester Rd","CA100377","CA100377 Rancho Cordova Sunrise","4041 Sunrise Blvd. Suite D","address","0.50",""
"doordash","Freeman Park","Freeman Park","CO100326","CO100326 Parker Parker","11153 Parker Rd","address","0.80",""
"doordash","Riverwind Dr","Riverwind Dr","IL110507","IL110507 CK Chicago River West","","address","0.50",""
"doordash","Terrace Center","Terrace Center","IL110507","IL110507 CK Chicago River West","","address","0.50",""
"doordash","West Glenwood Ave","West Glenwood Ave","DE025","DE025 Smyrna Glenwood","456 - C -1 West Glenwood Avenue","address","1.00",""
"doordash","Lantana Drive","Lantana Drive","DE130","DE130 Hockessin Lantana","120 Lantana Drive","address","0.60",""
"doordash","Blackstone-Fresno","Blackstone-Fresno","CA100221","CA100221 Fresno Blackstone","7685 N. Blackstone Ave","address","0.80",""
"doordash","Hwy 72 - Madison","Hwy 72 - Madison","AL100443","AL100443 Madison Hwy 72","461 John Henry Way, Bldg 300 Ste 320","address","0.50",""
"doordash","Eden Square Ctr","Eden Square Ctr","DE009","DE009 Bear Eden Square Ctr","430 Eden Circle","address","0.52",""
"doordash","N 87th Street","N 87th Street","AZ081","AZ081 Scottsdale 87th","15227 N. 87th Street suite 107","address","0.60",""
"doordash","San Luis Obispo","San Luis Obispo","CA200","CA200 SLO Foothill","791 Foothill Blvd.","address","0.50",""
"doordash","1st Ave NE","1st Ave NE","IA069","IA069 Davenport E 53rd","3016 E. 53rd Street","address","0.50",""
"doordash","West Fullerton Ave","West Fullerton Ave","DE025","DE025 Smyrna Glenwood","456 - C -1 West Glenwood Avenue","address","0.60",""
"doordash","Blue Diamond Road","Blue Diamond Road","IL110507","IL110507 CK Chicago River West","","address","0.50",""
"doordash","West Flamingo Road","West Flamingo Road","DE002","DE002 New Castle Basin","708 West Basin Road","address","0.60",""
"doordash","Nellis Blvd","Nellis Blvd","IL110507","IL110507 CK Chicago River West","","address","0.50",""
"doordash","Kennett Square","Kennett Square","IL110507","IL110507 CK Chicago River West","","address","0.50",""
"doordash","Palm Ave - Fresno","Palm Ave - Fresno","CA197","CA197 Fresno Palm","5058 N Palm Ave","address","0.60",""
"doordash","International Pkwy","International Pkwy","IL110507","IL110507 CK Chicago River West","","address","0.50",""
"doordash","Hamilton Blvd","Hamilton Blvd","IL110507","IL110507 CK Chicago River West","","address","0.50",""
"doordash","Roby Dr - Hammond","Roby Dr - Hammond","IL110507","IL110507 CK Chicago River West","","address","0.50",""
"doordash","South Rainbow","South Rainbow","IL110507","IL110507 CK Chicago River West","","address","0.50",""
"doordash","Pioneer Pkwy","Pioneer Pkwy","IL110507","IL110507 CK Chicago River West","","address","0.50",""
"doordash","Forest Drive","Forest Drive","IL110507","IL110507 CK Chicago River West","","address","0.50",""
"doordash","Capriotti's of Milford, LLC","Capriotti's of Milford, LLC","DE020","DE020 Milford Dupont","684 North Dupont Highway","address","0.50",""
"doordash","Newark","Newark","","","","unmatched","0.00",""
"doordash","Concord Pike","Concord Pike","DE100158","DE100158 Wilmington Concord Pike","5600B Concord Pike","address","0.76",""
"doordash","Heart Pine-Odessa","Heart Pine-Odessa","IL110507","IL110507 CK Chicago River West","","address","0.50",""
"doordash","Sumneytown Pike","Sumneytown Pike","IL110507","IL110507 CK Chicago River West","","address","0.50",""
"doordash","Plank Rd","Plank Rd","CA100377","CA100377 Rancho Cordova Sunrise","4041 Sunrise Blvd. Suite D","address","0.50",""
"doordash","Sunset and Sandhill","Sunset and Sandhill","IL110507","IL110507 CK Chicago River West","","address","0.50",""
"doordash","Olympia Ave-Tulsa","Olympia Ave-Tulsa","IA069","IA069 Davenport E 53rd","3016 E. 53rd Street","address","0.50",""
"doordash","Kirkwood Hwy","Kirkwood Hwy","IL110507","IL110507 CK Chicago River West","","address","0.50",""
"doordash","Lewes, DE","Lewes, DE","","","","unmatched","0.00",""
"doordash","Boulder Station","Boulder Station","IL110507","IL110507 CK Chicago River West","","address","0.50",""
"doordash","North Haven Ave","North Haven Ave","CA100425","CA100425 Ontario Haven","920 N Haven Ave., Suite 150","address","0.72",""
"doordash","West Charleston","West Charleston","IL110507","IL110507 CK Chicago River West","","address","0.50",""
"doordash","Cheyenne and 215","Cheyenne and 215","NV147","NV147 Cheyenne and 215","3355 Novat Street Suite 150","name","0.73",""
"doordash","Governor Ritchie","Governor Ritchie","IL110507","IL110507 CK Chicago River West","","address","0.50",""
"doordash","WVC High Market","WVC High Market","IL110507","IL110507 CK Chicago River West","","address","0.50",""
"doordash","Waialae Ave","Waialae Ave","HI100392","HI100392 Honolulu Waialae","4210 Waialae Ave","address","0.60",""
"doordash","Southern Highlands","Southern Highlands","CO229","CO229 Highlands Ranch Sergeant Jon Stiles","1100 Sergeant Jon Stiles Dr #107","address","0.50",""
"doordash","Zionsville","Zionsville","","","","unmatched","0.00",""
"doordash","Red Rock Casino","Red Rock Casino","IL110507","IL110507 CK Chicago River West","","address","0.50",""
"doordash","Ogletown Stanton","Ogletown Stanton","DE094","DE094 Newark Ogletown Stanton","4132 Ogletown Stanton Rd.","address","0.81",""
"doordash","West Azure","West Azure","IL110507","IL110507 CK Chicago River West","","address","0.50",""
"doordash","Aliante Casino","Aliante Casino","IL110507","IL110507 CK Chicago River West","","address","0.50",""
"doordash","Oso Blanca Rd","Oso Blanca Rd","IL110507","IL110507 CK Chicago River West","","address","0.50",""
"doordash","Princeton","Princeton","","","","unmatched","0.00",""
"doordash","Nevada Way","Nevada Way","IL110507","IL110507 CK Chicago River West","","address","0.50",""
"doordash","Roanoke","Roanoke","","","","unmatched","0.00",""
"doordash","West Avera Dr","West Avera Dr","IL110507","IL110507 CK Chicago River West","","address","0.50",""
"doordash","Park Road Center","Park Road Center","IL110507","IL110507 CK Chicago River West","","address","0.50",""
"doordash","17th St Ammon","17th St Ammon","ID100423","ID100423 Ammon 17th","2565 E. 17 th Street, Suite #2","address","0.80",""
"doordash","Interquest Parkway","Interquest Parkway","IL110507","IL110507 CK Chicago River West","","address","0.50",""
"doordash","State and 6100 S","State and 6100 S","UT154","UT154 Murray State and 6100 S","6002 South State St","address","0.51",""
"doordash","Elm St","Elm St","CA215","CA215 Eastvale Limonite","14062 Limonite Ave Ste 130","address","0.80",""
"doordash","South Sandhill Rd","South Sandhill Rd","IL110507","IL110507 CK Chicago River West","","address","0.50",""
"doordash","Cranberry Township","Cranberry Township","IL110507","IL110507 CK Chicago River West","","address","0.50",""
"doordash","South Eastern Ave","South Eastern Ave","IL110507","IL110507 CK Chicago River West","","address","0.50",""
"doordash","Magnolia Ave","Magnolia Ave","CA100453","CA100453 Riverside Magnolia","9867 Magnolia Avenue","address","0.60",""
"doordash","S Fort Apache","S Fort Apache","IL110507","IL110507 CK Chicago River West","","address","0.50",""
"doordash","Cheyenne Rd","Cheyenne Rd","CA100377","CA100377 Rancho Cordova Sunrise","4041 Sunrise Blvd. Suite D","address","0.50",""
"doordash","Post Falls","Post Falls","ID100461","ID100461 Post Falls Beck","264 S. Beck Road Suite 102","address","0.70",""
"doordash","Frisco","Frisco","","","","unmatched","0.00",""
"grubhub","Capriotti's Sandwich Shop","Frisco","IL110507","IL110507 CK Chicago River West","","address","0.50",""
"doordash","Whitesburg Dr (Medical District)","Whitesburg Dr (Medical District)","AL100520","AL100520 Huntsville Whitesburg","2002 Whitesburg Dr, Suite D","address","0.60",""
"ubereats","Capriotti's Sandwich Shop (NV142)","Capriotti's Sandwich Shop (Murrieta)","NV142","NV142 LV Blue Diamond Decatur","5020 Blue diamond Road Suite #C","store_id","1.00","NV142"
"doordash","Downtown Summerlin","Downtown Summerlin","IL110507","IL110507 CK Chicago River West","","address","0.50",""
"doordash","Sunset and Marks","Sunset and Marks","IL110507","IL110507 CK Chicago River West","","address","0.50",""
"grubhub","Capriotti's Sandwich Shop Catering ","Capriotti's Sandwich Shop Catering ","IL110507","IL110507 CK Chicago River West","","address","0.50",""
"ubereats","Capriotti's Sandwich Shop (301 N Harrison St)","Capriotti's Sandwich Shop (301 N Harrison St)","IL110507","IL110507 CK Chicago River West","","address","0.50",""
"doordash","Hightlands Ranch","Highlands Ranch","CA100377","CA100377 Rancho Cordova Sunrise","4041 Sunrise Blvd. Suite D","address","0.50",""
"ubereats","Capriotti's Sandwich Shop (11350 S. Highlands Pkwy)","Capriotti's Sandwich Shop (11350 S. Highlands Pkwy)","IL110507","IL110507 CK Chicago River West","","address","0.50",""
"ubereats","Capriotti's (3655 Catclaw Dr)","Capriotti's (3655 Catclaw Dr)","IL110507","IL110507 CK Chicago River West","","address","0.50",""
"grubhub","Capriotti's Sandwich Shop ","Capriotti's Sandwich Shop","IL110507","IL110507 CK Chicago River West","","address","0.50",""
"grubhub","Capriotti's Sandwich Shop","Huntsville, AL","IL110507","IL110507 CK Chicago River West","","address","0.50",""
"grubhub","Capriotti's Sandwich Shop Catering","Chicago, IL","IL110507","IL110507 CK Chicago River West","","address","0.50",""
"grubhub","Capriottis Sandwich Shop","Henderson, NV","IL110507","IL110507 CK Chicago River West","","address","0.50",""
"grubhub","Capriottiâ€™s Sandwich Shop","North Las Vegas, NV","IL110507","IL110507 CK Chicago River West","","address","0.50",""
"doordash","Regional Justice Ctr.","Regional Justice Ctr.","IL110507","IL110507 CK Chicago River West","","address","0.50",""
"ubereats","Capriotti's Sandwich Shop (36101 Bob Hope Drive #G2)","Capriotti's Sandwich Shop (36101 Bob Hope Drive #G2)","CA100451","CA100451 Rancho Mirage Bob Hope","36101 Bob Hope Drive","address","0.60",""
"ubereats","Capriotti's (TX444)","Capriotti's (TX444)","","","","unmatched","0.00",""
"doordash","E Silverado Ranch","E Silverado Ranch","IL110507","IL110507 CK Chicago River West","","address","0.50",""
"doordash","E Robindale Road","E Robindale Road","IL110507","IL110507 CK Chicago River West","","address","0.50",""
"doordash","E William Street","E William Street","IL110507","IL110507 CK Chicago River West","","address","0.50",""
"doordash","Broadway - Tucson","Broadway - Tucson","IL110507","IL110507 CK Chicago River West","","address","0.50",""
"doordash","Sierra St - Reno","Sierra St - Reno","CA100265","CA100265 Moreno Valley Moreno Beach","12831 Moreno Beach Dr, Ste 107","address","0.60",""
"doordash","Horizon Ridge","Horizon Ridge","IL110507","IL110507 CK Chicago River West","","address","0.50",""
"doordash","Meadows - Reno","Meadows - Reno","CA100265","CA100265 Moreno Valley Moreno Beach","12831 Moreno Beach Dr, Ste 107","address","0.80",""
"doordash","S Stanford Way","S Stanford Way","IL110507","IL110507 CK Chicago River West","","address","0.50",""
"doordash","Nature Park Drive","Nature Park Drive","IL110507","IL110507 CK Chicago River West","","address","0.50",""
"doordash","Los Altos","Los Altos","IL110507","IL110507 CK Chicago River West","","address","0.50",""
"doordash","Maryland Pkwy","Maryland Pkwy","IL110507","IL110507 CK Chicago River West","","address","0.50",""
"doordash","North Boulder Hwy","North Boulder Hwy","IL110507","IL110507 CK Chicago River West","","address","0.50",""
"doordash","Plumb Lane","Plumb Lane","IL110507","IL110507 CK Chicago River West","","address","0.50",""
"doordash","East Craig Road","West Craig Road","IL110507","IL110507 CK Chicago River West","","address","0.50",""
"ubereats","Capriotti's Sandwich Shop (CA100377)","Capriottis Sandwich Shop (TX100380)","CA100377","CA100377 Rancho Cordova Sunrise","4041 Sunrise Blvd. Suite D","store_id","1.00","CA100377"
"ubereats","Capriotti's Sandwich Shop (CA425)","Capriotti's Sandwich Shop (IA069)","IL110507","IL110507 CK Chicago River West","","address","0.50",""
"grubhub","Capriotti's Sandwich Shop","Capriotti's Sandwich Shop (IA069)","IL110507","IL110507 CK Chicago River West","","address","0.50",""